title,year,watched,rewatched
Guillermo del Toro's Pinocchio,2022,,
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,,
Flee,2021,,
Marcel the Shell with Shoes On,2021,,
The Mitchells vs. The Machines,2021,,
The Summit of the Gods,2021,,
Soul,2020,,
Wolfwalkers,2020,,
Bacurau,2019,,
In the Heart of the World,2019,,
Invisible Life,2019,,
Klaus,2019,,
Marighella,2019,,
Monica and Friends: Bonds,2019,,
The Edge of Democracy,2019,,
The Final Exit of the Disciples of Ascensia,2019,,
Tux and Fanny,2019,,
Isle of Dogs,2018,,
Liz and the Blue Bird,2018,,
Nossa Chape,2018,,
Sol Alegria,2018,,
Spider-Man: Into the Spider-Verse,2018,,
The Father's Shadow,2018,,
The Wolf House,2018,,
Unremember,2018,,
Bingo: The King of the Mornings,2017,,
Coco,2017,x,
Gabriel and the Mountain,2017,,
Get Out,2017,,
Good Manners,2017,,
In the Intense Now,2017,,
Logan,2017,x,
Loving Vincent,2017,,
"Night Is Short, Walk on Girl",2017,,
Pendular,2017,,
Political Animal,2017,,
The Breadwinner,2017,,
Wonder Woman,2017,,
13th,2016,,
20th Century Women,2016,,
A Silent Voice,2016,,
American Honey,2016,,
Aquarius,2016,,
Arrival,2016,,
Bad Black,2016,,
Captain Fantastic,2016,,
Colossal,2016,,
Dou kyu sei – Classmates,2016,,
"Hail, Caesar!",2016,,
Hunt for the Wilderpeople,2016,,
I Am Not Madame Bovary,2016,,
"I, Daniel Blake",2016,,
In This Corner of the World,2016,,
Kubo and the Two Strings,2016,,
La La Land,2016,x,
"Life, Animated",2016,,
Manchester by the Sea,2016,,
Miss Sloane,2016,,
Moonlight,2016,,
My Life as a Zucchini,2016,,
O.J.: Made in America,2016,,
Paterson,2016,,
Queen of Katwe,2016,,
Sing Street,2016,,
Swiss Army Man,2016,,
The Handmaiden,2016,,
The Innocents,2016,,
The Invisible Guest,2016,,
The Neon Demon,2016,,
The Nice Guys,2016,,
Tower,2016,,
Your Name.,2016,,
Anomalisa,2015,,
Beasts of No Nation,2015,,
Blue Strait,2015,,
Bone Tomahawk,2015,,
Brooklyn,2015,,
Carol,2015,,
Cobain: Montage of Heck,2015,,
Dude Bro Party Massacre III,2015,,
Going Clear: Scientology and the Prison of Belief,2015,,
Green Room,2015,,
Kill Me Please,2015,,
Knight of Cups,2015,,
Krisha,2015,,
Mad Max: Fury Road,2015,x,
Me and Earl and the Dying Girl,2015,,
Mustang,2015,,
My Scientology Movie,2015,,
Neon Bull,2015,,
Son of Saul,2015,,
The Assassin,2015,,
The Club,2015,,
The Little Prince,2015,,
The Revenant,2015,,
The Second Mother,2015,,
The Wave,2015,,
The Witch,2015,,
Victoria,2015,,
A Girl Walks Home Alone at Night,2014,,
A Hard Day,2014,,
A Pigeon Sat on a Branch Reflecting on Existence,2014,,
Alive Inside,2014,,
August Winds,2014,,
Birdman or (The Unexpected Virtue of Ignorance),2014,,
Boyhood,2014,x,
Captain America: The Winter Soldier,2014,x,
Chef,2014,x,
Futuro Beach,2014,,
Gone Girl,2014,x,
Inherent Vice,2014,,
Interstellar,2014,x,
It Follows,2014,,
Kingsman: The Secret Service,2014,x,
Mommy,2014,,
Nightcrawler,2014,,
Sin City: A Dame to Kill For,2014,,
Song of the Sea,2014,,
The Grand Budapest Hotel,2014,,
The Lego Movie,2014,x,
The Salt of the Earth,2014,,
The Telescope of Time,2014,,
The Way He Looks,2014,,
Top Five,2014,,
Video Nasties: Draconian Days,2014,,
What We Do in the Shadows,2014,,
When Marnie Was There,2014,,
Whiplash,2014,x,
White God,2014,,
Wild Tales,2014,,
Wood Job!,2014,,
Big Bad Wolves,2013,,
Blue Is the Warmest Color,2013,,
Boy & the World,2013,,
Chennai Express,2013,,
Chocolate Strawberry Vanilla,2013,,
Coherence,2013,,
Harmony Lessons,2013,,
Her,2013,x,
Ida,2013,,
Inside Llewyn Davis,2013,,
Mistaken for Strangers,2013,,
Ninja: Shadow of a Tear,2013,,
Only Lovers Left Alive,2013,,
Sentimental Education,2013,,
Snowpiercer,2013,x,
Starred Up,2013,,
Still Life,2013,,
The Great Beauty,2013,,
The Tale of the Princess Kaguya,2013,,
The Wind Rises,2013,,
The Wolf of Wall Street,2013,x,
Under the Skin,2013,,
Upstream Color,2013,,
Beasts of the Southern Wild,2012,,
Cloud Atlas,2012,,
Django Unchained,2012,x,
Drug War,2012,,
Elena,2012,,
Ernest & Celestine,2012,,
FDR: American Badass!,2012,,
Frances Ha,2012,,
It's Such a Beautiful Day,2012,,
Moonrise Kingdom,2012,,
Neighboring Sounds,2012,,
Resident Evil: Retribution,2012,x,
Resolution,2012,,
Seven Psychopaths,2012,,
Spring Breakers,2012,,
The Dark Knight Rises,2012,x,x
The Master,2012,x,
